id,name,gender,culture,born,died,titles,aliases
1063,Utherydes Wayn,Male,,In or between 237 AC and 241 AC (roughly),,Steward,
1064,Uthor Tollett,Male,Valemen,,,Lord of the Grey Glen,
1065,Uthor Underleaf,Male,,"In or around 181 AC, 182 AC or 183 AC",,Ser,The Snail
1066,Vaemond Velaryon,Male,Valyrian,,In 126 AC,Ser,
1067,Valarr Targaryen,Male,Valyrian,In or between 183 AC and 193 AC,"In 209 AC, at King's Landing","Prince, Hand of the King (possibly)",The Young Prince
1068,Vardis Egen,Male,Valemen,In or between 249 AC and 253 AC,"In 298 AC, at the Eyrie","Ser, Captain of the Guards",
1069,Vayon Poole,Male,,,"In 298 AC, at King's Landing",Steward of Winterfell,
1070,Velaena Velaryon,Female,Valyrian,,,Lady of Dragonstone,
1071,Vickon Botley,Male,Ironborn,,,,
1072,Vickon Greyjoy,Male,,,In 33 AC,"Lord of the Iron Islands, Lord Reaper of Pyke",
1073,Victaria Tyrell,Female,,,,,
1074,Victarion Greyjoy,Male,Ironborn,"In 268 AC or before, at Pyke",,"Lord Captain of the Iron Fleet, Master of the Iron Victory",The Iron Captain
1075,Victor Tyrell,Male,,,,Ser,
1076,Viserys I,Male,,"77 AC, at King's Landing","129 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",The Young King
1077,Viserys II,Male,,"122 AC, at Dragonstone","172 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm, Hand of the King",
1078,Viserys Plumm,Male,,In 176 AC or 177 AC,,Lord,
1079,Viserys Targaryen,Male,Valyrian,"In 276 AC, at King's Landing","In 298 AC, at Vaes Dothrak","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm","The Beggar King, Khal Rhaggat (The Cart King)"
1080,Vortimer Crane,Male,,,,"Ser, Master-at-arms at Highgarden",
1081,Walda Frey,Female,,In 290 AC or 291 AC,,,
1082,Walda Frey,Female,,In 294 AC or 295 AC,,,
1083,Walda Frey,Female,,In 280 AC or 281 AC,,,Fair Walda
1084,Walda Frey,Female,,In 283 AC or 284 AC,,,"Fat Walda, Walda Bolton"
1085,Walda Frey,Female,,In 288 AC or 289 AC,,,White Walda
1086,Walda Rivers,Female,,In 294 AC or 295 AC,,,
1087,Walda Rivers,Female,,In 295 AC,,,
1088,Walder Brax,Male,,In 293 AC,,,
1089,Walder Frey,Male,,In 291 AC,,,Big Walder
1090,Walder Frey,Male,Rivermen,In or between 260 AC and 280 AC,,,Black Walder
1091,Walder Frey,Male,,"In 291 AC, at The Twins","In 300 AC, at Winterfell",,Little Walder
1092,Walder Frey,Male,,In 285 AC,,,Red Walder
1093,Walder Frey,Male,Rivermen,In 208 AC,,Lord of the Crossing,"The Late Lord Frey, Old Frey"
1094,Walder Goodbrook,Male,,In 290 AC,,,
1095,Walder Haigh,Male,,In 294 AC or 295 AC,,,
1096,Walder Rivers,Male,Rivermen,,,Ser,Bastard Walder
1097,Waldon Wynch,Male,Ironborn,,,Lord of Iron Holt,
1098,Wallace Waynwood,Male,,In or between 278 AC and 283 AC,,Ser,
1099,Walter Whent,Male,Rivermen,,,Lord of Harrenhal,Old Lord Whent
1100,Walton Frey,Male,,In or between 250 AC and 267 AC,,,
1101,Walton Stark,Male,,,,"King in the North, Lord of Winterfell",Walton the Moon King
1102,Waltyr Frey,Male,,In 289 AC,,,Tyr
1103,Warryn Beesbury,Male,,,,Lord of Honeyholt,
1104,Waymar Royce,Male,Valemen,"In 278 AC or 279 AC, at Runestone","In 297 AC, at the Haunted Forest, Beyond the Wall",Ser,
1105,Wendel Frey,Male,,In 286 AC,,,
1106,Wendel Manderly,Male,,"In or between 254 AC and 263 AC, at White Harbor","In 299 AC, at the Twins",Ser,
1107,Whalen Frey,Male,,In 267 AC or 268 AC,,Ser,
1108,Wilbert Osgrey,Male,,,,Ser,the Little Lion
1109,Will,Male,,,"In 297 AC, at Haunted Forest",,
1110,Willam Dustin,Male,Northmen,,"In 283 AC, at the Tower of Joy",Lord of Barrowton,
1111,Willam Stark,Male,Northmen,At Winterfell,"In 226 AC, at Long Lake","Lord of Winterfell, Warden of the North",
1112,Willam Wythers,Male,,,,"Ser, Captain of the Guards",
1113,Willas Tyrell,Male,,In or between 270 AC and 276 AC,,,
1114,Willem Darry,Male,,,"In 289 AC or 290 AC (roughly), at Braavos",Ser Master-at-arms at the Red Keep,
1115,Willem Frey,Male,,In 289 AC or 290 AC,,,
1116,Willem Lannister,Male,,In or between 285 AC and 287 AC,"In 299 AC, at Riverrun",,
1117,Willem Wylde,Male,,,,Ser,
1118,William Mooton,Male,,,,Lord of Maidenpool,
1119,Willis Fell,Male,,,,Ser,
1120,Willis Wode,Male,,,,Ser,
1121,Wyl Waynwood,Male,,,"In 196 AC, at the Redgrass Field",,Wild Wyl
1122,Wylis Manderly,Male,,"In or between 252 AC and 262 AC, at White Harbor",,Ser,
1123,Wylla Manderly,Female,,"In 284 AC or 285 AC, at White Harbor",,,
1124,Wyman Manderly,Male,,"In or between 239 AC and 242 AC, at White Harbour",,"Lord of White Harbor, Warden of the White Knife, Shield of the Faith, Defender of the Dispossessed, Lord Marshal of the Mander, Knight of the Order of the Green Hand","Lord Lamprey, Lord Too-Fat-to-Sit-a-Horse, Lord Pig, Lord Lard"
1125,Wynafrei Whent,Female,,,,,
1126,Wynafryd Manderly,Female,,"In 280 AC or 281 AC, at White Harbor",,,
1127,Wynton Stout,Male,Northmen,In or before 219 AC,,Ser,
1128,Ygon Farwynd,Male,,,,,
1129,Ynys Yronwood,Female,Dornish,,,,
1130,Yohn Farwynd,Male,Ironborn,,,,
1131,Yohn Royce,Male,Valemen,,,Lord of Runestone,Bronze Yohn
1132,Yoren,Male,Westeros,,"In 299 AC, at Gods Eye",,
1133,Ysilla Royce,Female,Valemen,,,,
1134,Zachery Frey,Male,,In 287 AC,,,
1135,Zhoe Blanetree,Female,,,,,
1136,Zia Frey,Female,,In 285 AC,,,
1137,Monster,Male,Free Folk,"In 299 AC, at Craster's Keep",,,"The little monster, The abomination"
1138,Addam,Male,,,,Ser,
1139,Aethan,Male,,,,,
1140,Aethelmure,Male,,,,Grand Maester,
1141,Aggar,Male,,,"In 299 AC, at Winterfell",,
1142,Aggo,Male,Dothraki,,,"Ko, Bloodrider of Daenerys Targaryen",
1143,Agrivane,Male,,,,Archmaester,
1144,Alan of Rosby,Male,,,"In 300 AC, at the haunted forest",,
1145,Alaric of Eysen,Male,,,,,
1146,Alayaya,Female,,"In 282 AC or 283 AC, at King's Landing",,,'Yaya
1147,Albett,Male,,,,,Pimple
1148,Alebelly,Male,Northmen,,"In 299 AC, at Winterfell",,
1149,Alequo Adarys,Male,Tyroshi,,,,"Silvertongue, The Tyrant of Tyrosh"
1150,Alesandor Torrent,Male,,,,Lord of Littlesister,
1151,Alfyn,Male,Free Folk,,In 299 AC,,Alfyn Crowkiller
1152,Alia of Braavos,Female,,,,,
1153,All-for-Joffrey,Male,,,"In 299 AC, at Riverlands",,
1154,Allaquo,Male,Braavosi,,,,
1155,Allard Seaworth,Male,,,"In 299 AC, at Blackwater Bay",Captain of the Lady Marya,
1156,Alvyn Sharp,Male,Ironborn,,,,
1157,Alyce,Female,,,,,
1158,Alyn,Male,,,"In 298 AC, at Riverlands",,
1159,Alyn,Male,,,,,Sour Alyn
1160,Alysanne Bracken,Female,,,,,
1161,Amabel,Female,,,,,
1162,Ambrode,Male,Ironborn,,,,
1163,Andrey Dalt,Male,Dornish,,,Ser,Drey
1164,Andrik,Male,Ironborn,,,Lord of Southshield,Andrik the Unsmiling
1165,Anguy,Male,,At Dornish Marches,,,The Archer
1166,Areo Hotah,Male,Norvoshi,"In 257 AC or before, at Norvos",,Captain of the Guard at Sunspear,
1167,Argrave the Defiant,Male,,At Nunny,,Ser,
1168,Armen,Male,,,,,Armen the Acolyte
1169,Armistead Vance,Male,Andal,,,,
1170,Arneld,Male,,,,Ser,
1171,Arnell,Male,,,,Ser,
1172,Arron,Male,,At Fair Isle,,,
1173,Arryk,Male,,,,,'Left' or 'Right'
1174,Arson,Male,Free Folk,,,,Arson Iceaxe
1175,Arya Flint,Female,Northern mountain clans,,,,
1176,Assadora,Female,Ibbenese,At Ibben,,,Assadora of Ibben
1177,Aurane Waters,Male,Valyrian,In 277 AC or 278 AC,,"Grand admiral (master of ships), Lord of the Waters","Bastard of Driftmark, Lord Waters"
1178,Ayrmidon,Male,Valyrian,,,,
1179,Azor Ahai,Male,Asshai,,,,"Warrior of Light, Son of Fire, Warrior of Fire"
1180,Azzak,Male,Ghiscari,At Meereen,,Cupbearer,
1181,Bael,Male,Free Folk,,,King-Beyond-the-Wall,"Bael the Bard, Sygerrik of Skagos"
1182,Baelish,Male,Braavosi,,,,
1183,Balaq,Male,Summer Isles,,,,Black Balaq
1184,Ballabar,Male,,,,Maester,
1185,Bandy,Male,Northmen,,,,
1186,Bannen,Male,,At or near White Harbor,"In 299 AC, at Craster's Keep",,
1187,Barbara Bracken,Female,,,,,
1188,Barra,Female,,"In 298 AC, at King's Landing","In 299 AC, at King's Landing",,
1189,Barsena,Female,Ghiscari,In 270 AC (roughly),"In 300 AC, at Meereen",,Barsena Blackhair
1190,Barth,Male,,,,,
1191,Bearded Ben,Male,,,,,
1192,Beardless Dick,Male,,,,,
1193,Becca,Female,,,,,
1194,Becca,Female,,,At Riverlands,,Becca the Baker
1195,Beck,Male,,In 299 AC,At Donnelwood,Goodman,
1196,Bedwyck,Male,,,,,Giant
1197,Belandra,Female,,,,,
1198,Belaquo,Male,Ghiscari,,,,Belaquo Bonebreaker
1199,Beldecar,Male,,,,,
1200,Belis,Male,,,At King's Landing,Wisdom,
1201,Bella,Female,,"In 283 AC, at Stoney Sept",,,
1202,Bellegere Otherys,Female,Braavosi,,,,the Black Pearl of Braavos
1203,Bellegere Otherys,Female,Braavosi,,,,"Black Pearl, Brown Pearl"
1204,Bellonara Otherys,Female,Braavosi,,,,Black Pearl of Braavos
1205,Belwas,Male,Meereenese,,,,"Strong Belwas, Belwas the Strong"
1206,Ben,Male,,"In 293 AC or 294 AC, at the riverlands",,,
1207,Ben,Male,,,,,Ben Blackthumb
1208,Ben,Male,,,,,Ben Bones
1209,Benedict,Male,,,,Archmaester,
1210,Bennet,Male,,,,Septon,
1211,Beqqo,Male,Braavosi,,,,
1212,Bess Bracken,Female,,,,,
1213,Bessa,Female,,,At Hag's Mire,,
1214,Bessa,Female,Northmen,,,,
1215,Bethany,Female,Braavosi,,,,Blushing Bethany
1216,Bethany Fair-Fingers,Female,,,,,
1217,Betharios,Female,,,,,Betharios of Braavos
1218,Bhakaz zo Loraq,Male,Ghiscari,At Meereen,,Cupbearer,
1219,Bharbo,Male,Dothraki,,,Khal,
1220,Big Belly Ben,Male,,,,,Big Belly Ben
1221,Big Boil,Male,Free Folk,,,,
1222,Biter,Male,,,"In 300 AC, at the inn at the crossroads",,
1223,Black Bernarr,Male,,,,,
1224,Blane,Male,,,,,
1225,Bloodbeard,Male,,,,,
1226,Bluetooth,Male,Ironborn,,,,
1227,Bodger,Male,Free Folk,,,,
1228,Borcas,Male,,,,,
1229,Borroq,Male,Free Folk,,,,
1230,Bors,Male,,,,,
1231,Boy,Male,,At 284 AC,,,
1232,Brea,Female,Braavosi,,,,
1233,Brella,Female,,,,,
1234,Brenett,Male,,,,Maester,
1235,Briar,Male,Free Folk,,,,
1236,Brogg,Male,Free Folk,,,,
1237,Brown Bernarr,Male,,,"In 299 AC, at Fist of the First Men",,
1238,Brusco,Male,Braavosi,,,,Big Brusco
1239,Bryan of Oldtown,Male,Reach,At Oldtown,,,
1240,Bryen,Male,,In or before 220 AC,,,
1241,Brynden Blackwood,Male,,,,,
1242,Brynden Rivers,Male,Valyrian,"In 175 AC, at King's Landing","In 252 AC(presumed), at beyond the Wall","Ser, Hand of the King, Lord Commander of the Night's Watch","Lord Bloodraven, The three-eyed crow"
1243,Bump,Male,Free Folk,,,,
1244,Butterbumps,Male,,,,,Butterbumps
1245,Buu,Female,,,,,
1246,Byam Flint,Male,,,"In 299 AC, at Craster's Keep",Ser,
1247,Byan Votyris,Male,Norvoshi,,,,
1248,Byren Flowers,Male,,,,Ser,Black Byren Flowers
1249,Byron,Male,,,,Ser,Byron the Beautiful
1250,Cadwyl,Male,Ironborn,,,,
1251,Cadwyn,Male,,,,Ser,
1252,Cafferen,Male,,,"In 282 AC, at Ashford",Lord,
1253,Caleotte,Male,,,,Maester,
1254,Calon,Male,Northmen,,,,
1255,Camarron,Male,Ghiscari,,At Meereen,,Camarron of the Count
1256,Carrot,Male,,,,,
1257,Cass,Female,,,,,
1258,Castos,Male,,,,Archmaester,
1259,Catelyn Bracken,Female,,,,,
1260,Cayn,Male,Northmen,,"In 298 AC, at King's Landing",,
1261,Cedra,Female,,,,,
1262,Cellador,Male,,,,Septon,
1263,Cerrick,Male,Ironborn,,,Maester,The Grey Pup
1264,Cetheres,Male,,,,Archmaester,
1265,Chataya,Female,Summer Isles,,,,
1266,Chella daughter of Cheyk,Female,Mountain clans,,,,
1267,Chett,Male,,At Hag's Mire,"In 299 AC, at Fist of the First Men",,
1268,Cheyk,Female,,,,,
1269,Chiggen,Male,,,"In 298 AC, at Mountains of the Moon",,
1270,Chiswyck,Male,,,"In 299 AC, at Harrenhal",,
1271,Clarence Crabb,Male,,,,Ser,
1272,Clegane,Male,,,,"Ser, Knight of Clegane's Keep",
1273,Clement,Male,,In 251 AC or 252 AC,,Brother,
1274,Cleon,Male,Astapori,,"In 300 AC, at Astapor",King of Astapor,"Cleon the Great, The Butcher King, King Cleaver"
1275,Cleos Frey,Male,,"In or between 258 AC and 275 AC, at Casterly Rock","In 299 AC, at Riverlands",Ser,
1276,Clifford Conklyn,Male,,,,Ser,
1277,Clydas,Male,,In 240 AC or before,,,
1278,Cohollo,Male,Dothraki,,"In 298 AC, at Dothraki sea","Ko, Bloodrider of Khal Drogo",
1279,Coldhands,Male,,,,,
1280,Colemon,Male,,,,Maester,
1281,Collio Quaynis,Male,Tyroshi,,,,
1282,Conn son of Coratt,Male,,,"In 298 AC, at Green Fork of the river Trident, the Riverlands",,
1283,Conwy,Male,,,,,
1284,Coratt,Male,,,,,
1285,Corliss Penny,Male,,,,Ser,
1286,Corlos,Male,First Men,In Age of Heroes,,Lord of Casterly Rock,Corlos son of Caster
1287,Cosgrove,Male,,,,Steward,
1288,Cossomo,Male,Braavosi,,,,Cossomo The Conjurer
1289,Cotter Pyke,Male,Ironborn,,,Commander of Eastwatch-by-the-Sea,
1290,Courteny Greenhill,Male,,,,Ser,
1291,Craghas Drahar,Male,Myrish,,In 108 AC,,Craghas Crabfeeder
1292,Cragorn,Male,,,In 300 AC,,
1293,Craster,Male,Free Folk,,"In 299 AC, at Craster's Keep",,
1294,Crawn son of Calor,Male,Mountain clans,,,,
1295,Cressen,Male,,In 219 AC or 220 AC,"In 299 AC, at Dragonstone",Maester,
1296,Cuger,Male,,,,,
1297,Cutjack,Male,,,,,
1298,Daario Naharis,Male,Tyroshi,,,,
1299,Dacks,Male,,,,,
1300,Daegon Shepherd,Male,Ironborn,,,,The Black Shepherd
1301,Daemon Sand,Male,Dornish,In 275 or 276 AC,,Ser,Bastard of Godsgrace
1302,Daenaera Velaryon,Female,Valyrian,In 127 AC,,Queen,
1303,Daenerys Targaryen,Female,Valyrian,"In 284 AC, at Dragonstone",,"Queen of the Andals and the Rhoynar and the First Men, Lord of the Seven Kingdoms, Khaleesi of the Great Grass Sea, Breaker of Shackles/Chains, Queen of Meereen, Princess of Dragonstone","Dany, Daenerys Stormborn, The Unburnt, Mother of Dragons, Mother, Mhysa, The Silver Queen, Silver Lady, Dragonmother, The Dragon Queen, The Mad King's daughter"
1304,Daeryssa,Female,,,,Princess,
1305,Dafyn Vance,Male,,,,Ser,
1306,Dagmer,Male,Ironborn,,,Captain of Foamdrinker,Dagmer Cleftjaw
1307,Dagon Ironmaker,Male,Ironborn,,,,
1308,Dake,Male,,,At Coldmoat,,
1309,Dake,Male,,,,,
1310,Dale Seaworth,Male,,,"In 299 AC, at Blackwater Rush",Captain of the Wraith,
1311,Dalla,Female,Free Folk,,"In 300 AC, at Near Castle Black",,
1312,Dalla,Female,,,,,
1313,Damon,Male,,,,,Damon Dance-for-Me
1314,Dan,Male,Free Folk,,,,Hempen Dan
1315,Dancy,Female,,,,,
1316,Danny Flint,Male,Northmen,,,,
1317,Dareon,Male,,,"In 300 AC, at Braavos",,The Black Singer Lover
1318,Darla Deddings,Female,,,,Lady,
1319,Davos Seaworth,Male,Westeros,"In 260 AC or before, at King's Landing",,"Ser, Lord of the Rainwood, Admiral of the Narrow Sea, Hand of the King","Onion Knight, Davos Shorthand, Ser Onions, Onion Lord, Smuggler"
1320,Del,Male,Free Folk,In 283 AC (roughly),"In 299 AC, at Queenscrown",,
1321,Delp,Male,,,"In 299 AC, at Riverrun",,
1322,Denestan,Male,,,,Maester,
1323,Dennett,Male,,,,,
1324,Denyo Terys,Male,Braavosi,In 287 AC or 288 AC,,,
1325,Dermot,Male,,,,Ser,Dermot of the Rainwood
1326,Desmond,Male,,,"In 298 AC, at King's Landing",,
1327,Devyn,Male,Free Folk,,,,Devyn Sealskinner
1328,Dhazzar,Female,Ghiscari,At Meereen,,Cupbearer,The dancer
1329,Dick,Male,,,"In 300 AC, at Winterfell",,Yellow Dick
1330,Dick Crabb,Male,,,"In 300 AC, at the Whispers",,Nimble Dick
1331,Dirk,Male,,,"In 300 AC, at Beyond the Wall",,
1332,Dobber,Male,,,"In 299 AC, at Gods Eye",,
1333,Dolf son of Holger,Male,,,,,
1334,Donnel Hill,Male,,,,,Sweet Donnel Hill
1335,Donnel Waynwood,Male,,In 277 AC or 278 AC,,"Ser, Knight of the Gate",
1336,Donnis,Male,Northmen,,,,
1337,Donyse,Female,,,,Septa,
1338,Dorcas,Female,,,,,
1339,Dorea Sand,Female,Dornish,In 291 AC or 292 AC,,,
1340,Doreah,Female,Lysene,In 278 or 279 AC,"In 299 AC, at Red waste",,
1341,Dormund,Male,Free Folk,,"In 300 AC, at The Wall",,
1342,Dornish Dilly,Male,,,"In 299 AC, at Castle Black",,
1343,Doss,Male,Free Folk,,,,Blind Doss
1344,Draqaz,Male,Ghiscari,At Meereen,,Cupbearer,
1345,Drennan,Male,Ironborn,,"In 299 AC, at Winterfell",,
1346,Drogo,Male,Dothraki,In or around 267 AC,"In 298 AC, at Dothraki sea",Khal,"Great Rider, Great Khal"
1347,Dryn,Male,Free Folk,,,,
1348,Dudley,Male,,,,Ser,
1349,Dunaver,Male,,,,Ser,
1350,Dunsen,Male,,,,,
1351,Dyah,Female,Free Folk,,,,
1352,Dywen,Male,,,,,
1353,Easy,Male,,,"In 300 AC, at Castle Black",,
1354,Ebrose,Male,,,,Archmaester,
1355,Edric Storm,Male,,In 287 AC,,,
1356,Eggon,Male,,,,,
1357,Egon Emeros,Male,Qartheen,,,,Egon Emeros the Exquisite
1358,Elaena Targaryen,Female,Valyrian,In 150 AC,In or after 220 AC,Princess,
1359,Elder Brother,Male,,In 255 AC or 256 AC,,"Elder Brother, Ser",
1360,Eldiss,Male,Ironborn,,,,
1361,Elenei,Female,,In Age of Heroes,,,
1362,Elia Sand,Female,Dornish,In 285 AC or 286 AC,,,"El, Lady Lance"
1363,Elron,Male,,,,,
1364,Elwood,Male,,,"In 299 AC, at Riverrun",,
1365,Elza,Female,Meereenese,,"In 294 AC, at Meereen",,Ella
1366,Emma,Female,,In 260 AC or before,,,
1367,Emmett,Male,,,,,Iron Emmett
1368,Emmond,Male,Ironborn,,,,
1369,Emrick,Male,,At Fair Isle,,,
1370,Endehar,Male,,,,,
1371,Enger,Male,,,,,
1372,Erik Ironmaker,Male,Ironborn,In 211 AC or 212 AC,,"Lord Steward of the Iron Islands, Castellan of Pyke","Erik the Just, Erik Anvil-Breaker"
1373,Eroeh,Female,Lhazareen,,"In 298 AC, at Dothraki Sea",,
1374,Erreck,Male,,,,Maester,
1375,Erreg,Male,Andal,,,King,Erreg the Kinslayer
1376,Errok,Male,Free Folk,,,,
1377,Erryk,Male,,,,,'Left' or 'Right'
1378,Esgred,Female,,,,,
1379,Eustace,Male,,,,Septon,
1380,Eustace Brune,Male,,,,Lord of the Dyre Den,
1381,Ezzara,Female,Ghiscari,At Meereen,,Blue Grace,
1382,Falia Flowers,Female,,"In either 281 AC, 282 AC or 283 AC",,,
1383,Farlen,Male,,,"In 299 AC, at Winterfell",,
1384,Fern,Female,,,,,
1385,Ferny,Female,Free Folk,,,,
1386,Ferrego Antaryon,Male,Braavosi,,,Sealord of Braavos,
1387,Ferret,Male,,,,,
1388,Florys the Fox,Female,,,,,
1389,Fogo,Male,Dothraki,,"In 298 AC, at Dothraki sea",Khalakka,
1390,Fornio,Male,,,,,
1391,Fralegg,Male,Ironborn,,,,Fralegg the Strong
1392,Franklyn Frey,Male,,,,Ser,
1393,Frenken,Male,,,,Maester,
1394,Frenya,Female,Free Folk,,"In 300 AC, at Winterfell",,
1395,Frynne,Female,,,,,
1396,Gage,Male,,,,,
1397,Galazza Galare,Female,Ghiscari,"In 217 AC (roughly), at Meereen",,Green Grace,
1398,Galladon of Morne,Male,,,,Ser,Perfect Knight
1399,Gallard,Male,,,,Archmaester,
1400,Galt,Male,Mountain clans,,,,
1401,Galyeon of Cuy,Male,,,,,
1402,Gareth,Male,,,,Ser,Gareth the Grey
1403,Gareth Clifton,Male,,,,Ser,
1404,Garigus,Male,,,At King's Landing,Wisdom,
1405,Garin,Male,Dornish,,,,Garin of the Orphans
1406,Garin,Male,Rhoynar,,At Chroyane,Prince,Garin the Great
1407,Gariss,Male,,,,,
1408,Garizon,Male,,,,Archmaester,
1409,Garrett Flowers,Male,,,,,
1410,Garse Flowers,Male,,,,,
1411,Garth Greenhand,Male,First Men,,,High King of the First Men,"Garth Greenhair, Garth the Green"
1412,Garth of Greenaway,Male,,At Greenaway,"In 300 AC, at Beyond the Wall",,
1413,Garth of Oldtown,Male,,,"In 299 AC, at Craster's Keep",,
1414,Gascoyne,Male,,,,Ser,Gascoyne of the Greenblood
1415,Gavin,Male,Free Folk,,,,Gavin the Trader
1416,Gelmarr,Male,,,"In 299 AC, at Winterfell",,The Grim
1417,Gendel,Male,Free Folk,,,King-Beyond-the-Wall,
1418,Gendry,Male,,"In 284 AC, at King's Landing",,Ser,"The Bull, Ser Gendry of the hollow hill"
1419,Gerardys,Male,,,In 130 AC,Grand Maester,
1420,Gergen,Male,,,,,Green Gergen
1421,Gerold Dayne,Male,Dornish,In or between 270 AC and 274 AC,,"Ser, Knight of High Hermitage",Darkstar
1422,Gerren,Male,,,,,
1423,Gerrick,Male,Free folk,,,King of the Wildlings,Gerrick Kingsblood
1424,Gerris Drinkwater,Male,Dornish,In 275 AC,,Ser,"Drink, Dornish Gerrold"
1425,Ghael,Male,Astapori,,,Lord,
1426,Ghost of High Heart,Female,,,,,The woods witch
1427,Gilly,Female,Free Folk,"In either 282 AC, 283 AC or 284 AC, at Craster's Keep",,,the rabbit keeper
1428,Glendon Hewett,Male,,,,Ser,
1429,Goady,Male,,,,,
1430,Godwyn,Male,,,,,
1431,Goghor,Male,Ghiscari,,,,Goghor the Giant
1432,Goodwin,Male,,,,"Ser, Master-at-arms at Evenfall Hall",
1433,Gorghan of Old Ghis,Male,Ghiscari,,,,
1434,Gormon Tyrell,Male,,,,Maester,Maester Gormon
1435,Gorne,Male,Free Folk,,,King-Beyond-the-Wall,
1436,Grazdan,Male,Astapori,,"In 299 AC, at Astapor",Good Master,
1437,Grazdan mo Ullhor,Male,Astapori,,"In 299 AC, at Astapor",Good Master,
1438,Grazdan the Great,Male,Ghiscari,,,,
1439,Grazdan zo Galare,Male,Meereenese,,,,
1440,Grazdar zo Galare,Male,Ghiscari,At Meereen,,Cupbearer,Grazhar
1441,Great Walrus,Male,Free Folk,,,,
1442,Gregor Clegane,Male,,In 265 AC or 266 AC,In 300 AC,"Ser, Knight of Clegane's Keep","The Mountain That Rides, The Mountain, The Great Dog"
1443,Gretchel,Female,,,,,
1444,Grey King,Male,Ironborn,,", at watery halls of the Drowned God (alleged)",High King of the Iron Islands,
1445,Grey Worm,Male,,,,,
1446,Griffin King,Male,First Men,,,last of the Mountain King,Griffin King
1447,Grigg,Male,Free Folk,,,,Grigg the Goat
1448,Grisel,Female,,,,,
1449,Grisella,Female,Free Folk,,,,
1450,Groleo,Male,Pentoshi,,"In 300 AC, at Meereen","Captain, Lord Admiral",
1451,Grubbs,Male,,,"In 300 AC, at Beyond the Wall",,
1452,Grunt,Male,Northmen,,,,
1453,Gueren,Male,,,,,
1454,Gulian,Male,,,,Maester,
1455,Gunthor son of Gurn,Male,,,,,
1456,Gurn,Male,Mountain clans,,,,
1457,Guyne,Male,,,,Archmaester,
1458,Gyldayn,Male,,,,Archmaester,
1459,Gyleno Dothare,Male,Braavosi,,,,
1460,Gyloro Dothare,Male,Braavosi,,,,
1461,Gynir,Male,,,"In 299 AC, at Winterfell",,"Gynir Rednose, Rednose"
1462,Haegon Blackfyre,Male,Valyrian,In or between 189 AC and 193 AC,In 219 AC,,
1463,Haggo,Male,Dothraki,,"In 298 AC, at Dothraki sea",Bloodrider of Khal Drogo,
1464,Haggon,Male,Free Folk,,,,
1465,Hairy Hal,Male,,,"In 300 AC, at Beyond the Wall",,
1466,Hake,Male,,,"In 299 AC, at Fist of the First Men",,
1467,Hal,Male,,,In 299 AC,,Hal the Hog
1468,Halder,Male,,In 281 AC or 282 AC,,,Stone Head
1469,Haldon,Male,,,,,Haldon Halfmaester
1470,Hali,Female,Free Folk,,"In 298 AC, at the Wolfswood",,
1471,Hallyne,Male,,,,"Lord, Wisdom",Hallyne the Pryomancer
1472,Hamish,Male,,,"In 300 AC, at King's Landing",,Hamish the Harper
1473,Harbert,Male,,,,"Ser, Castellan of Storm's End",
1474,Hareth,Male,,,,Grand Maester,
1475,Hareth,Male,,,,,Horse
1476,Harghaz,Male,Ghiscari,,"In 300 AC, at Meereen",,"Harghaz the Hero, Harghaz the Dragonslayer"
1477,Harle,Male,Free Folk,,,,Harle the Handsome
1478,Harle,Male,Free Folk,,,,Harle the Huntsman
1479,Harma,Female,Free Folk,,"In 300 AC, at The Wall",,"Harma the Dogshead, Harma Dogshead"
1480,Harmund Sharp,Male,Ironborn,,,,
1481,Harmune,Male,,,,Maester,
1482,Harodon,Male,,,,Archmaester,
1483,Harra,Female,,,"In 299 AC, at Harrenhal",,
1484,Harrag Sharp,Male,Ironborn,,"In 299 AC, at Winterfell",,Harrag Sheepstealer
1485,Harren Half-Hoare,Male,Ironborn,,,,
1486,Harry Sawyer,Male,,,,Ser,
1487,Harsley,Male,,,"In 299 AC, at Pennytree",,
1488,Harwin,Male,Northmen,In 271 AC or later,,,
1489,Hayhead,Male,Northmen,,,,
1490,Hazrak zo Loraq,Male,Ghiscari,,,,The Handsome
1491,Hazzea,Female,Ghiscari,In 295 AC or 296 AC,"In 300 AC, at plains outside Meereen",,
1492,Heke,Male,,,"In 299 AC, at the North",,Reek
1493,Helliweg,Male,,,,Maester,
1494,Helly,Female,,,,,
1495,Helya,Female,,,,,
1496,Hendry Bracken,Male,,,"In 299 AC, at Stone Hedge",,
1497,Henk,Male,Free Folk,,,,Henk the Helm
1498,Henly,Male,,,,Maester,
1499,Heward,Male,Northmen,,"In 298 AC, at King's Landing",,
1500,Hibald,Male,,,,,
1501,Hizdahr zo Loraq,Male,Ghiscari,,,"King of Meereen, Scion of Ghis, Octarch of the Old Empire, Master of the Skahazadhan, Consort to Dragons, Blood of the Harpy","Hizdak, Hizdahr of the tepid kisses"
1502,Hobb,Male,,,,,Three-Finger Hobb
1503,Hod,Male,,,,,
